internship_title,company_name,location,start_date,duration,stipend,sector_name,field_name,skills_set,detailed_description
Web & Graphic Design,ProDigit,Hyderabad,Immediately,3 Months,"₹ 12,000-15,000 /month",IT and Software Development,Full Stack Web Development,"HTML/CSS, JavaScript, Photoshop, UI/UX",Combine web development skills with graphic design to build and style engaging websites. Work on front-end layouts and design cohesive visual elements.
Subject Matter Expert (SME),Contexto,Work From Home,Immediately,3 Months,"₹ 10,000-15,000 /month","Media, Entertainment & Education",Content Strategy & Copywriting,"Subject Matter Expertise, Research, Content Development, Editing","Develop and review specialized content based on domain expertise. Ensure accuracy, clarity, and educational value of all published materials."
Human Resources (HR),HomeClass,Work From Home,Immediately,3 Months,"₹ 1,000 /month",Consulting Services,Human Resources (HR) & People Operations,"Recruitment, Onboarding, HR Administration, Communication","Assist the HR team with employee recruitment, onboarding processes, and maintaining personnel records. Help coordinate employee engagement activities and internal communications."
Business Development (Sales),Buzzin Group,Mumbai,Immediately,3 Months,"₹ 8,000 /month +  Incentives",Consulting Services,B2B Sales & Key Account Management,"Sales, Lead Generation, Negotiation, Client Communication",Identify and pitch to prospective clients to drive business growth. Build and maintain strong relationships with key accounts to ensure long-term retention.
Digital Marketing,7System Technology Private Limited,Delhi,Immediately,3 Months,"₹ 7,000 /month",IT and Software Development,Digital Marketing & SEO/SEM,"SEO, SEM, Social Media Marketing, Campaign Management",Plan and execute comprehensive digital marketing strategies across multiple channels. Monitor and optimize ongoing campaigns to achieve targeted ROI.
Graphic Design,Bajrangi Welfare Federation,Work From Home,Immediately,3 Months,Unpaid,Healthcare,Graphic Design & Visual Communication,"Photoshop, CorelDraw, Poster Design, Creativity","Design promotional materials, banners, and digital assets for welfare campaigns and events. Ensure all designs communicate the organization's mission effectively."
Photography & Videography,Revive Physical Health And Wellness,Bangalore,Immediately,3 Months,"₹ 8,000 /month",Healthcare,Video Production & Motion Graphics,"Photography, Videography, Video Editing, Lighting","Capture high-quality photos and videos of wellness programs, client testimonials, and events. Edit footage to create engaging promotional and educational media content."
Embedded Systems,Ocean Energy,Mumbai,Immediately,3 Months,"₹ 5,000-12,000 /month","Oil, Gas & Energy",Embedded Systems & IoT,"Microcontrollers, C/C++, Hardware Testing, Circuit Design","Design, develop, and test embedded hardware and software systems for energy applications. Troubleshoot circuit boards and assist in integrating IoT sensors."
Sourcing Management,Simple Sourcing,Mumbai,Immediately,3 Months,"₹ 13,000 /month",Logistics & Supply Chain,"Procurement, Sourcing & Vendor Management","Sourcing, Vendor Management, Negotiation, Supply Chain Analysis",Identify and evaluate potential suppliers and vendors for sourcing various materials. Negotiate contracts and manage vendor relationships to ensure optimal pricing and quality.
Social Media Marketing,Imperfecto,Delhi,Immediately,3 Months,"₹ 18,000 /month",Travel & Hospitality,Social Media & Community Management,"Social Media, Content Creation, Community Engagement, Instagram Marketing",Manage social media channels by planning content calendars and publishing daily updates. Engage with the online community to build brand loyalty and drive foot traffic.
Business Development (Sales),Dot Centric Futuristics,Kolkata,Immediately,3 Months,"₹ 3,000 /month +  Incentives","Consulting Services, IT and Software Development","B2B Sales & Key Account Management, Client Relationship Management (CRM)","Lead Generation, Negotiation, Communication, Sales Strategy","As a Business Development intern at Dot Centric Futuristics, you will be responsible for identifying new sales opportunities, reaching out to potential clients, and pitching our services. You will assist in building strong client relationships and maintaining the CRM database to track progress."
Impact Leaders Adminstration & Operations,HappiMynd,Work From Home,Immediately,3 Months,"₹ 2,000-3,000 /month","Healthcare, Media, Entertainment & Education","Hospital & Healthcare Administration, Operations & Process Excellence (Six Sigma)","Administrative Support, Project Coordination, Process Optimization, Time Management","At HappiMynd, you will support administrative operations and leadership programs to ensure seamless daily workflows. Your role involves coordinating logistics, organizing schedules, and streamlining internal processes to enhance organizational efficiency."
General Management,HappiMynd,Work From Home,Immediately,3 Months,"₹ 1,000-2,000 /month","Healthcare, Consulting Services","Management Consulting & Advisory, Strategy & Corporate Development","Strategic Planning, Data Analysis, Problem Solving, Project Management","This General Management internship at HappiMynd involves working across multiple departments to support strategic initiatives, business planning, and cross-functional projects. You will help analyze operational metrics and assist leadership in executing growth strategies."
Social Media Marketing,Fitspire - Aspire To Fitness,Delhi,Immediately,3 Months,"₹ 5,000-10,000 /month","FMCG (Fast-Moving Consumer Goods), Retail & Consumer Durables","Social Media & Community Management, Digital Marketing & SEO/SEM","Content Creation, Social Media Management, Audience Engagement, Graphic Design Basics","As a Social Media Marketing intern at Fitspire - Aspire To Fitness, you will help manage brand channels, create engaging fitness-related content, and interact with the online community. You will assist in planning social media calendars and tracking campaign performance metrics."
Market Research,HappiMynd,Work From Home,Immediately,3 Months,"₹ 1,000-2,000 lump sum","Healthcare, Consulting Services",Business Analytics & Market Research,"Market Research, Data Gathering, Competitor Analysis, Survey Design","At HappiMynd, you will conduct comprehensive market research to identify industry trends, consumer preferences, and competitive landscapes. Your findings will support strategic decision-making and product development initiatives."
SEO,LyfSmile,Work From Home,Immediately,3 Months,"₹ 5,000 /month","Healthcare, IT and Software Development",Digital Marketing & SEO/SEM,"Search Engine Optimization (SEO), Keyword Research, Google Analytics, Content Optimization","As an SEO intern at LyfSmile, you will optimize website content and structure to improve search engine rankings and organic traffic. You will conduct keyword research, analyze traffic patterns, and implement on-page and off-page SEO strategies."
Business Development (Sales),ASD Academy,Work From Home,Immediately,3 Months,"₹ 1,500 /month","Media, Entertainment & Education, Consulting Services","B2B Sales & Key Account Management, Client Relationship Management (CRM)","Lead Generation, Sales Pitching, Customer Service, Communication","At ASD Academy, you will drive business development efforts by reaching out to prospective students and partners, presenting educational offerings, and managing sales pipelines. You will play a key role in expanding our customer base and meeting enrollment goals."
Digital Marketing,Quick Ride,Bangarapet,Immediately,3 Months,"₹ 10,000 /month","Logistics & Supply Chain, IT and Software Development","Digital Marketing & SEO/SEM, Social Media & Community Management","Digital Campaigns, Content Strategy, Social Media Advertising, Analytics","As a Digital Marketing intern at Quick Ride, you will assist in planning and executing online campaigns to promote carpooling and mobility solutions. You will track campaign metrics, optimize ad spend, and support customer acquisition efforts across digital channels."
Social Media Marketing,The Fans World,Mumbai,Immediately,3 Months,"₹ 8,000-15,000 /month","Media, Entertainment & Education, Sports","Social Media & Community Management, Digital Marketing & SEO/SEM","Content Creation, Social Media Platforms, Copywriting, Community Building","At The Fans World, you will manage social media platforms to foster a vibrant community of sports and entertainment enthusiasts. You will curate daily content, interact with followers, and analyze engagement metrics to boost brand presence."
Social Media Marketing,"Chris Barton (Watford, United Kingdom)",Work From Home,Immediately,3 Months,"₹ 6,000 /month","Media, Entertainment & Education, Consulting Services","Social Media & Community Management, Digital Marketing & SEO/SEM","Social Media Strategy, Content Scheduling, Audience Engagement, Brand Awareness","Working directly with Chris Barton, you will assist in developing and executing social media marketing strategies to enhance online visibility and brand reach. Responsibilities include scheduling posts, engaging with audiences, and monitoring digital trends."
Fashion Design,Label Nimisha,Noida,Immediately,3 Months,"₹ 2,000 /month","Textile Manufacturing, Retail & Consumer Durables","Fashion Styling & Textile Design, Apparel Pattern Making & Garment Construction","Fashion Design, Sketching, Textile Sourcing, CAD Design","At Label Nimisha, you will assist the design team in creating new apparel collections, sketching designs, and selecting fabrics. You will participate in pattern making, garment construction, and preparation for fashion showcases."
Human Resources (HR),Global Advertisers Private Limited,Mumbai,Immediately,3 Months,"₹ 10,000 /month","Media, Entertainment & Education, Consulting Services","Human Resources (HR) & People Operations, Talent Acquisition & Technical Recruitment","Recruitment, Candidate Sourcing, HR Administration, Communication","As a Human Resources intern at Global Advertisers Private Limited, you will support the HR team in talent acquisition, resume screening, and interview coordination. You will also assist with onboarding processes and maintaining employee records."
Travel Consulting,Tourstick,Work From Home,Immediately,3 Months,"₹ 10,000 /month",Travel & Hospitality,"Travel, Ticketing & Tour Operations, Client Relationship Management (CRM)","Travel Itinerary Planning, Customer Service, Ticketing, Destination Knowledge","At Tourstick, you will consult with clients to understand their travel needs, design customized itineraries, and handle bookings and ticketing. You will provide exceptional customer support throughout the travel planning and execution process."
Business Development (Sales),CVM Coir Cluster,Work From Home,Not specified,3 Months,"₹ 4,000 /month +  Incentives","Agriculture, Textile Manufacturing","B2B Sales & Key Account Management, Procurement, Sourcing & Vendor Management","B2B Sales, Market Outreach, Client Relations, Negotiation","As a Business Development intern at CVM Coir Cluster, you will promote coir products, identify new market segments, and build relationships with distributors and corporate clients. You will assist in drafting proposals and closing sales deals."
Business Development (Sales),Prakriti Group,Jaipur,Immediately,3 Months,"₹ 6,000-9,000 /month","Diversified Conglomerates, Consulting Services","B2B Sales & Key Account Management, Strategy & Corporate Development","Sales Operations, Lead Generation, Business Strategy, Communication","At Prakriti Group, you will contribute to business growth initiatives by prospecting new clients, pitching company offerings, and managing client accounts. You will coordinate with internal teams to ensure smooth service delivery and client satisfaction."
Software Testing Engineering,AICAN Private Limited,Mumbai,Immediately,3 Months,"₹ 5,000-10,000 /month","IT and Software Development, Global Capability Centres (GCCs)","Software Engineering, Quality Assurance & Quality Control (QA/QC)","Software Testing, Bug Tracking, Test Case Writing, Manual Testing","As a Software Testing Engineering intern at AICAN Private Limited, you will design test cases, execute functional and regression tests, and identify software bugs. You will collaborate with developers to ensure software quality and reliability before release."
Creative Writing,Bhashkaranand Joshi,Work From Home,Immediately,3 Months,"₹ 5,000 /month","Media, Entertainment & Education","Content Strategy & Copywriting, Journalism & Mass Media Production","Creative Writing, Copyediting, Storytelling, Content Creation","Working with Bhashkaranand Joshi, you will write and edit creative pieces, articles, and promotional materials. You will brainstorm content ideas, refine drafts for tone and clarity, and produce engaging written content for various projects."
Human Resources (HR),Mindfree Business Consulting Private Limited,Noida,Immediately,3 Months,"₹ 10,000 /month",Consulting Services,"Human Resources (HR) & People Operations, Talent Acquisition & Technical Recruitment","Talent Sourcing, Screening Resumes, Interview Coordination, HR Operations","At Mindfree Business Consulting Private Limited, you will assist consultants in sourcing, screening, and interviewing candidates for various client positions. You will help streamline recruitment pipelines and manage candidate correspondence."
Video Making/Editing,Paisowala,Work From Home,Immediately,3 Months,"₹ 5,000 /month","Banking and Financial Services, Media, Entertainment & Education","Video Production & Motion Graphics, Graphic Design & Visual Communication","Video Editing, Motion Graphics, Post-Production, Adobe Premiere/After Effects","As a Video Making/Editing intern at Paisowala, you will conceptualize, shoot, and edit video content for promotional campaigns and educational financial content. You will add motion graphics, audio enhancements, and ensure high production standards."
Electronics Engineering,Ellipsol,Gurgaon,Immediately,3 Months,"₹ 12,000 /month","Semiconductors, Automotive","Embedded Systems & IoT, Electrical Power Systems & Grid Operations","Circuit Design, Electronics, Microcontrollers, PCB Design","At Ellipsol, you will assist senior engineers in designing, prototyping, and testing electronic circuits and embedded systems. You will participate in hardware debugging, component selection, and technical documentation."
Digital Marketing,MIDIND Industrial Development Limited,Navi Mumbai,Immediately,3 Months,"₹ 10,000 /month","Manufacturing & Industrial, Consulting Services",Digital Marketing & SEO/SEM,"SEO, Social Media Marketing, Content Strategy, Google Analytics","You will be responsible for planning and executing digital marketing campaigns to promote industrial services and products. Daily tasks include managing social media handles, analyzing web traffic, and improving search engine optimization."
Business Development (Sales),The Grey Hawks,Mumbai,Immediately,3 Months,"₹ 5,000 /month +  Incentives",Consulting Services,B2B Sales & Key Account Management,"Lead Generation, Communication, Negotiation, Client Relationship Management","As a Business Development intern, you will identify new market opportunities and pitch services to potential clients. Responsibilities include building a strong sales pipeline and closing deals to drive company growth."
Digital Marketing,Travstudio,Vashi Navi Mumbai,Immediately,3 Months,"₹ 8,000 /month","Media, Entertainment & Education, Travel & Hospitality",Digital Marketing & SEO/SEM,"Social Media Optimization, Content Creation, Campaign Management, Creative Writing","You will support Travstudio by running engaging social media campaigns and enhancing their online travel presence. Your day-to-day involves creating marketing collateral, analyzing campaign reach, and posting regularly."
Human Resources (HR),AIETS COM PVT LTD,Delhi,Immediately,3 Months,"₹ 12,000 /month","Media, Entertainment & Education",Human Resources (HR) & People Operations,"Talent Sourcing, Recruitment, Employee Onboarding, Communication","You will assist the HR team in sourcing, screening, and scheduling interviews for various open positions. Responsibilities also include managing employee records and coordinating onboarding processes."
Content Writing,CodeNicely Software Services LLP,Raipur,Immediately,3 Months,"₹ 8,000 /month",IT and Software Development,Content Strategy & Copywriting,"Copywriting, Technical Writing, SEO Research, Proofreading","You will create compelling content for software services, blogs, and marketing collateral. Responsibilities include researching industry trends, writing clear copy, and ensuring all content aligns with company guidelines."
Graphic Design,Analy Assist,Delhi,Immediately,3 Months,"₹ 10,000 /month",Consulting Services,Graphic Design & Visual Communication,"Adobe Photoshop, Illustrator, Visual Design, Brand Identity","You will design visual graphics for digital platforms, marketing campaigns, and client presentations. Daily tasks include creating engaging banners, social media posts, and maintaining brand consistency across all visual assets."
Video Making/Editing,Dailyonlineoffer,Work From Home,Immediately,3 Months,"₹ 5,000 /month","Media, Entertainment & Education",Video Production & Motion Graphics,"Video Editing, Adobe Premiere Pro, After Effects, Content Creation","You will edit and produce engaging video content for online promotional campaigns and social media channels. Responsibilities include cutting footage, adding motion graphics, and synchronizing audio tracks."
Crypto Mining Rig Development,Blest Inn,Delhi,Immediately,3 Months,"₹ 12,000 /month","IT and Software Development, Semiconductors",Embedded Systems & IoT,"Hardware Assembly, Hardware Troubleshooting, Electronics, System Configuration","You will assist in setting up, testing, and optimizing hardware components for cryptocurrency mining rigs. Tasks involve hardware troubleshooting, thermal management, and optimizing rig performance."
Digital Marketing,Tales In Our Backpack,Work From Home,Immediately,3 Months,"₹ 1,000 /month","Media, Entertainment & Education",Digital Marketing & SEO/SEM,"Social Media Marketing, Content Writing, SEO, Creativity","You will conceptualize and execute digital marketing strategies to promote storytelling and travel narratives. Responsibilities include managing social platforms, drafting posts, and analyzing audience engagement."
HR Consultant,Hidecible Office Systems,Work From Home,Immediately,3 Months,"₹ 3,000 /month","Building Materials, Consulting Services",Talent Acquisition & Technical Recruitment,"Recruitment, Candidate Sourcing, Interview Coordination, HR Administration","You will help identify and hire top talent to support office system solutions and operations. Tasks include screening resumes, conducting initial phone screenings, and scheduling interviews with hiring managers."
Video Making/Editing & Content Creation,DevTown,Work From Home,Immediately,3 Months,"₹ 10,000 /month","Media, Entertainment & Education, IT and Software Development","Video Production & Motion Graphics, Content Strategy & Copywriting","Video Editing, Content Creation, Scriptwriting, Social Media Management","You will produce, shoot, and edit educational and promotional videos for tech programs. Day-to-day duties include scriptwriting, recording tutorials, and creating dynamic video content for digital channels."
Website Content,HouseEazy,Noida,Immediately,3 Months,"₹ 12,000 /month","Housing, IT and Software Development",Content Strategy & Copywriting,"Content Writing, Real Estate Terminology, SEO, Editing","You will generate engaging website copy and property descriptions for a housing platform. Responsibilities involve conducting keyword research, writing clear property content, and updating website pages."
Business Development Management,YAALEESH INFOTECH,Work From Home,Immediately,3 Months,"₹ 10,000-20,000 /month",IT and Software Development,Strategy & Corporate Development,"Business Strategy, Market Research, Client Acquisition, Project Management","You will help develop business strategies and manage IT service projects to drive revenue growth. Responsibilities include analyzing market trends, identifying strategic partnerships, and managing client relations."
Sales Development,YAALEESH INFOTECH,Work From Home,Immediately,3 Months,"₹ 10,000-20,000 /month",IT and Software Development,B2B Sales & Key Account Management,"Sales Prospecting, Lead Generation, Cold Outreach, Negotiation","You will drive sales development initiatives for IT products and services by identifying new business leads. Tasks include conducting cold outreach, setting up client meetings, and tracking sales pipelines."
Human Resources (HR),Let's Set Destinations,Bangalore,Immediately,3 Months,"₹ 8,000 /month",Travel & Hospitality,Human Resources (HR) & People Operations,"Recruitment, HR Coordination, Onboarding, Interpersonal Skills","You will support the HR department of a travel enterprise by managing candidate pipelines and staff relations. Responsibilities include coordinating interviews, onboarding new hires, and maintaining internal HR databases."
Subject Matter Expert (Mathematics),Innovalance Learning Systems,Work From Home,Immediately,3 Months,"₹ 10,000-17,000 /month","Media, Entertainment & Education",Content Strategy & Copywriting,"Mathematics, Content Creation, Problem Solving, Curriculum Design","You will create, review, and solve mathematical problems and educational materials for learning modules. Responsibilities include ensuring accuracy in learning content and developing explanatory solutions for students."
Business Development (Sales),SOHAMIIT CLASSES,Mumbai,Immediately,3 Months,"₹ 8,000 /month +  Incentives","Media, Entertainment & Education",B2B Sales & Key Account Management,"Student Counseling, Lead Generation, Sales Pitching, Communication","You will reach out to prospective students to explain educational courses and drive enrollments. Daily tasks include managing inquiries, conducting counseling sessions, and converting leads into course registrations."
Digital Marketing Content Creation,DevTown,Work From Home,Immediately,3 Months,"₹ 10,000 /month","Media, Entertainment & Education, IT and Software Development",Digital Marketing & SEO/SEM,"Content Creation, Digital Marketing, Social Media Management, Copywriting","You will create creative digital content to market tech education programs across various channels. Tasks involve designing content calendars, writing engaging copy, and tracking marketing metrics."
Business Development (Sales),LIC LIFE,Work From Home,Immediately,3 Months,"₹ 2,000 /month +  Incentives","Banking and Financial Services, Finance",B2B Sales & Key Account Management,"Insurance Products, Financial Advisory, Lead Generation, Client Relationship Management","You will pitch life insurance and financial protection products to prospective clients. Responsibilities include identifying customer needs, explaining policy details, and achieving sales quotas."
Marketing,Olivia Beauty,Mumbai,Immediately,3 Months,"₹ 10,000 /month","FMCG (Fast-Moving Consumer Goods), Retail & Consumer Durables",Brand Management & Advertising,"Market Research, Brand Strategy, Consumer Insights, Campaign Planning","You will support marketing initiatives for beauty and personal care products to enhance brand visibility. Responsibilities include conducting market research, executing promotional events, and analyzing competitor trends."
Content Writing (Indian Movie Reviews),Nettv4u,Work From Home,Immediately,3 Months,"₹ 5,000 /month","Media, Entertainment & Education",Content Strategy & Copywriting,"Creative Writing, Film Criticism, Research, Copyediting",Review Indian movies and write engaging commentary and articles for the media platform. Research cinema trends and draft structured reviews to capture audience interest.
Article Writing (Top 20 Type Of IT Articles),Nettv4u,Work From Home,Immediately,3 Months,"₹ 5,000 /month","IT and Software Development, Media, Entertainment & Education",Content Strategy & Copywriting,"Technical Writing, IT Knowledge, Research, SEO Writing",Research trending IT topics and draft comprehensive top-20 style listicles. Synthesize complex technical concepts into accessible digital articles.
Research: Find Celebrities Of Your Choice,Nettv4u,Work From Home,Immediately,3 Months,"₹ 5,000 /month","Media, Entertainment & Education",Business Analytics & Market Research,"Internet Research, Data Gathering, Information Verification, Detail Orientation","Conduct in-depth research on celebrities, gathering accurate background details and public profiles. Organize and curate verified biographical data for publication databases."
Content Writing (Biographies),Nettv4u,Work From Home,Immediately,3 Months,"₹ 5,000 /month","Media, Entertainment & Education",Content Strategy & Copywriting,"Biographical Research, Creative Writing, Storytelling, Editing",Write detailed and engaging biographies of notable personalities for media publication. Conduct thorough background checks and structure narratives chronologically and compellingly.
Content Writing (Article Writing),Nettv4u,Work From Home,Immediately,3 Months,"₹ 5,000 /month","Media, Entertainment & Education",Content Strategy & Copywriting,"Content Writing, Copywriting, Grammar, SEO","Produce original, high-quality articles across various categories for digital media consumption. Ensure consistent brand tone, proper grammar, and timely content delivery."
Content Writing (Food),Nettv4u,Work From Home,Immediately,3 Months,"₹ 5,000 /month","Media, Entertainment & Education",Content Strategy & Copywriting,"Food Writing, Culinary Knowledge, Copywriting, Creativity","Draft appetizing articles, reviews, and features centered on food, cuisine, and culinary trends. Engage readers with vivid descriptions and well-researched gastronomic topics."
Creative Writing (TV Serial Stories),Nettv4u,Work From Home,Immediately,3 Months,"₹ 5,000 lump sum","Media, Entertainment & Education",Content Strategy & Copywriting,"Creative Writing, Scriptwriting, Storytelling, Plot Development","Develop creative plotlines, character arcs, and episodic scripts for television serials. Collaborate with the editorial team to brainstorm engaging narrative twists."
Content Writing (IT),Nettv4u,Work From Home,Immediately,3 Months,"₹ 5,000 /month","IT and Software Development, Media, Entertainment & Education",Content Strategy & Copywriting,"Technical Writing, IT Terminology, Research, Editing","Create informative written content focused on information technology, software trends, and digital innovations. Translate technical jargon into reader-friendly digital articles."
Article Writing (Thai & Chinese Celebrities),Nettv4u,Work From Home,Immediately,3 Months,"₹ 5,000 lump sum","Media, Entertainment & Education",Content Strategy & Copywriting,"Entertainment Research, Article Writing, Cross-Cultural Awareness, Copywriting","Research Asian entertainment markets and write engaging articles focusing on Thai and Chinese celebrities. Compile updates, profiles, and trending news for the portal."
Content Writing (Cricket),Nettv4u,Work From Home,Immediately,3 Months,"₹ 5,000 /month","Media, Entertainment & Education, Sports",Content Strategy & Copywriting,"Sports Journalism, Cricket Knowledge, Content Writing, Real-time Reporting","Draft match reports, player profiles, and analytical articles covering domestic and international cricket. Monitor live matches and deliver prompt updates and content pieces."
Stock Market Research,Trading Shalaa,Work From Home,Immediately,1 Month,"₹ 5,000-10,000 /month","Banking and Financial Services, Finance",Equity Research & Portfolio Management,"Financial Analysis, Stock Market Research, Data Interpretation, Excel","Analyze stock market trends, company financials, and market data to support investment research. Prepare reports and summaries highlighting potential investment opportunities."
Finance And Advertising,Trading Shalaa,Work From Home,Immediately,1 Month,"₹ 5,000-10,000 /month","Banking and Financial Services, Finance",Corporate Finance & Treasury,"Financial Literacy, Marketing Strategy, Communication, Market Research",Assist in coordinating financial campaigns and promotional activities related to financial services. Bridge financial concepts with creative advertising strategies to attract clients.
Finance Management,Trading Shalaa,Work From Home,Immediately,1 Month,"₹ 3,000-6,000 /month","Banking and Financial Services, Finance",Corporate Finance & Treasury,"Financial Management, Budgeting, Data Analysis, Accounting Principles","Support day-to-day financial operations, record keeping, and internal budgeting processes. Analyze financial reports to assist in strategic decision-making."
Sales And Business Relations,YAALEESH INFOTECH,Work From Home,Immediately,1 Month,"₹ 10,000-20,000 /month",IT and Software Development,B2B Sales & Key Account Management,"Sales, Client Relations, Lead Generation, Negotiation",Engage with prospective clients to pitch IT services and build lasting business relationships. Identify new sales opportunities and manage client communications effectively.
Social Media Marketing,Archiville Studio,Bangalore,Immediately,1 Month,"₹ 12,000 /month","Media, Entertainment & Education",Digital Marketing & SEO/SEM,"Social Media Management, Content Creation, Campaign Planning, Analytics","Design and execute engaging social media campaigns to boost brand visibility across platforms. Create creative content, schedule posts, and monitor audience engagement metrics."
Manual Data Review & Audit,Breakout,Work From Home,Immediately,1 Month,"₹ 3,000-4,000 /month",Consulting Services,Quality Assurance & Quality Control (QA/QC),"Data Auditing, Attention to Detail, Data Verification, Excel","Manually review, verify, and audit large datasets to ensure accuracy and compliance with standards. Identify discrepancies and document errors for corrective action."
Content Writing,Sernexuss Management And Services,Delhi,Immediately,1 Month,"₹ 5,000-15,000 /month",Consulting Services,Content Strategy & Copywriting,"Content Writing, Business Communication, Copyediting, Research","Draft professional content, corporate materials, and web copy for management consulting services. Ensure consistency in messaging across various corporate communications."
Recruitment,NITS GLOBAL,Pune,Immediately,1 Month,"₹ 5,000 /month",Consulting Services,Talent Acquisition & Technical Recruitment,"Sourcing, Candidate Screening, Interview Coordination, Communication","Source potential candidates through job portals, screen resumes, and conduct initial phone interviews. Coordinate interview schedules between candidates and hiring managers."
Search Engine Optimization (SEO),Hospitality Minds,Mumbai,Immediately,1 Month,"₹ 10,000 /month",Travel & Hospitality,Digital Marketing & SEO/SEM,"SEO, Keyword Research, On-page Optimization, Google Analytics",Optimize website content and structure to improve search engine rankings for hospitality services. Conduct keyword research and track organic traffic performance metrics.
Interior Design,Kirtee And Associates,Mumbai,Immediately,1 Month,"₹ 10,000 /month",Infrastructure & Construction,Interior & Spatial Design,"AutoCAD, Interior Design, Space Planning, 3D Modeling","Assist senior designers in creating floor plans, spatial layouts, and aesthetic concepts for interiors. Prepare detailed architectural drawings, material mood boards, and 3D mockups."
Company Secretary (CS),Mee 2 Bee Smart Service Private Limited,Jaipur,Immediately,1 Month,"₹ 6,000-10,000 /month",Banking and Financial Services,Company Secretarial & Corporate Compliance,"Corporate Law, Compliance Management, Legal Documentation, Secretarial Standards",Assist in maintaining statutory registers and filing compliance documents with regulatory authorities. Support the company secretary in conducting board meetings and ensuring adherence to corporate governance standards.
Accounting & Tally,SBM & Company Chartered Accountants,Mumbai,Immediately,1 Month,"₹ 10,000 /month",Finance,Auditing & Taxation,"Tally ERP, Accounting Principles, GST Filing, Bookkeeping","Manage day-to-day bookkeeping, financial entries, and report generation using Tally. Assist chartered accountants with tax filings, audits, and reconciliation processes."
AutoCAD Content Creation,DevTown,Work From Home,Immediately,1 Month,"₹ 10,000 /month",IT and Software Development,Mechanical Design & CAD/CAM,"AutoCAD, Technical Content Writing, Drafting, Design Visualization",Create engaging technical content and tutorials based on AutoCAD software for learners. Design 2D and 3D models to serve as educational assets for engineering courses.
Mechanical Engineering,Sagar Defence Engineering Private Limited,Chakan,Immediately,1 Month,"₹ 7,000 /month",Aviation & Defence,Mechanical Design & CAD/CAM,"SolidWorks, Mechanical Design, Prototyping, Defense Engineering","Work on the design, development, and testing of specialized mechanical systems for defense applications. Collaborate with senior engineers to draft components and oversee prototyping phases."
Business Development (Sales),Mallsutra,Work From Home,Immediately,1 Month,"₹ 1,000 /month +  Incentives",Retail & Consumer Durables,B2B Sales & Key Account Management,"Lead Generation, Client Pitching, Negotiation, Sales Strategy",Identify and onboard prospective business partners and vendors onto the platform. Execute sales strategies to drive revenue growth and build strong merchant relationships.
Web Development,Watrana Traction Private Limited,Delhi,Immediately,1 Month,"₹ 8,000 /month",IT and Software Development,Full Stack Web Development,"HTML/CSS, JavaScript, React, Node.js","Develop and maintain responsive web applications to support company operations. Collaborate with the technical team to debug code, optimize performance, and integrate APIs."
Video Making/Editing,Make Me Pure,Delhi,Immediately,1 Month,"₹ 9,000-12,000 /month","Media, Entertainment & Education",Video Production & Motion Graphics,"Video Editing, Adobe Premiere Pro, After Effects, Color Grading",Edit raw footage to create engaging promotional and educational videos for digital platforms. Coordinate with the creative team to align video content with brand storytelling goals.
Operations,Aufklarung Office Space Solutions,Work From Home,Immediately,1 Month,"₹ 2,000-7,000 /month",Consulting Services,Operations & Process Excellence (Six Sigma),"Process Optimization, Facility Management, Data Analysis, Administrative Support",Oversee day-to-day facility and office space operations to ensure seamless functioning. Implement process improvements to boost administrative efficiency and client satisfaction.
Business Development (Sales),Da SocialPreneurs,Work From Home,Immediately,1 Month,"₹ 8,000 /month +  Incentives",Consulting Services,B2B Sales & Key Account Management,"Communication, Market Research, Sales Pitching, Relationship Building",Engage with potential social entrepreneurs and stakeholders to pitch services and programs. Drive outreach campaigns and manage customer pipelines effectively.
Culinary Arts,DNY Hospitality Private Limited,Dombivli,Immediately,1 Month,"₹ 12,000-15,000 /month",Travel & Hospitality,Culinary Arts & Food & Beverage (F&B),"Food Preparation, Kitchen Management, Culinary Techniques, Menu Planning","Assist professional chefs in food preparation, recipe testing, and kitchen operations. Ensure adherence to high standards of hygiene, safety, and culinary presentation."
Physiotherapy - Subject Matter Expert,Startoon Labs Private Limited,Work From Home,Immediately,1 Month,"₹ 10,000 /month",Healthcare,Hospital & Healthcare Administration,"Physiotherapy, Content Development, Medical Research, Subject Matter Expertise",Develop and review physiotherapy-related content for healthcare technology products. Provide clinical insights to engineers and product designers to improve medical device usability.
Video Making/Editing,Digi Daftar,Pune,Immediately,1 Month,"₹ 2,000-5,000 /month","Media, Entertainment & Education",Video Production & Motion Graphics,"Video Editing, Final Cut Pro, Sound Design, Media Production",Produce and edit high-quality video content for corporate and marketing requirements. Ensure all visual media meets the desired creative standards and deadlines.
Motion Graphics,Creatiwise,Work From Home,Immediately,1 Month,"₹ 12,000-20,000 /month","Media, Entertainment & Education",Video Production & Motion Graphics,"Motion Graphics, Adobe After Effects, Illustrator, Visual Effects",Design dynamic motion graphics and animated elements for digital marketing campaigns. Collaborate with designers and marketers to bring creative concepts to life.
Fashion Design,Tribeca,Work From Home,Immediately,1 Month,"₹ 5,000 /month +  Incentives",Textile Manufacturing,Fashion Styling & Textile Design,"Fashion Design, Sketching, Textile Selection, Garment Construction","Assist in conceptualizing and designing new fashion collections and garments. Create mood boards, technical sketches, and source appropriate fabrics for production."
